"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ZWCDPC1","198206","15","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198207","168","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198208","75","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198209","16","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198210","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198211","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198212","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198213","281","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198301","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198302","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198303","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198304","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198305","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198306","77","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198307","204","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198308","157","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198309","49","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198310","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198311","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198312","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198313","488","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198401","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198402","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198403","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198404","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198405","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198406","82","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198407","152","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198408","184","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198409","5","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198410","1","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198411","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198412","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198413","423","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198501","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198502","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198503","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198504","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198505","7","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198506","18","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198507","164","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198508","113","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198509","22","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198510","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198511","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198512","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198513","324","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198601","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198602","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198603","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198604","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198605","8","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198606","32","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198607","128","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198608","84","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198609","6","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198610","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198611","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198612","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198613","259","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198701","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198702","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198703","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198704","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198705","5","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198706","70","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198707","183","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198708","90","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198709","15","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198710","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198711","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198712","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198713","361","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198801","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198802","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198803","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198804","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198805","5","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198806","46","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198807","217","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198808","211","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198809","9","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198810","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198811","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198812","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198813","489","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198901","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198902","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198903","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198904","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198905","7","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198906","68","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198907","154","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198908","128","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198909","21","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198910","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198911","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198912","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198913","379","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199001","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199002","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199003","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199004","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199005","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199006","59","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199007","179","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199008","173","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199009","14","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199010","3","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199011","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199012","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199013","429","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199101","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199102","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199103","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199104","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199105","28","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199106","81","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199107","174","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199108","173","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199109","10","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199110","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199111","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199112","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199113","465","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199201","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199202","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199203","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199204","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199205","3","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199206","41","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199207","94","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199208","92","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199209","14","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199210","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199211","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199212","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199213","244","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199301","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199302","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199303","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199304","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199305","10","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199306","60","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199307","193","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199308","172","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199309","18","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199310","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199311","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199312","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199313","453","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199401","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199402","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199403","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199404","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199405","1","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199406","106","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199407","276","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199408","109","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199409","12","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199410","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199411","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199412","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199413","505","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199501","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199502","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199503","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199504","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199505","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199506","70","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199507","240","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199508","151","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199509","10","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199510","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199511","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199512","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199513","471","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199601","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199602","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199603","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199604","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199605","1","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199606","71","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199607","133","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199608","142","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199609","20","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199610","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199611","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199612","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199613","368","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199701","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199702","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199703","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199704","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199705","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199706","60","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199707","164","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199708","115","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199709","16","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199710","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199711","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199712","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199713","355","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199801","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199802","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199803","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199804","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199805","18","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199806","44","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199807","179","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199808","177","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199809","38","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199810","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199811","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199812","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199813","456","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199901","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199902","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199903","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199904","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199905","8","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199906","116","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199907","259","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199908","141","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199909","53","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199910","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199911","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199912","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","199913","576","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","200001","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","200002","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","200003","0","1","Cooling Degree-Days, New England","Number"
