"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLNFPUS","198402","134.415","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198403","143.782","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198404","156.393","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198405","153.424","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198406","133.349","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198407","136.146","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198408","135.458","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198409","133.11","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198410","124.133","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198411","125.195","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198412","129.936","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198413","1647.191","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198501","129.593","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198502","122.801","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198503","131.359","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198504","144.097","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198505","141.361","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198506","122.864","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198507","128.61","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198508","127.96","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198509","125.742","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198510","118.426","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198511","119.44","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198512","123.962","1","Coal Non-Combustion Consumption","Thousand Short Tons"
"CLNFPUS","198513","1536.216","1","Coal Non-Combustion Consumption","Thousand Short Tons"
